Año,Trimestre,Provincia,Mbps (Media de bajada),Velocidad anterior,Variación (%)
2020,1,Corrientes,20.5389992749433,19.2554116079714,6.666113885825832
2020,2,Corrientes,22.1503060625758,20.5389992749433,7.845108547222288
2020,3,Corrientes,23.851523971243,22.1503060625758,7.680335900827592
2020,4,Corrientes,25.4467008966306,23.851523971243,6.687945505330604
2021,1,Corrientes,25.9851713597201,25.4467008966306,2.1160718054449186
2021,2,Corrientes,30.3680548020057,25.9851713597201,16.866863726284905
2021,3,Corrientes,32.1689008278583,30.3680548020057,5.9300670971314915
2021,4,Corrientes,35.772659194287,32.1689008278583,11.202615798758785
2022,1,Corrientes,38.11,35.772659194287,6.533874915528444
2022,2,Corrientes,43.31,38.11,13.644712673838896
2022,3,Corrientes,45.07,43.31,4.063726622027241
2022,4,Corrientes,94.72,45.07,110.16197026847125
2023,1,Corrientes,94.8,94.72,0.08445945945945767
2023,2,Corrientes,97.21,94.8,2.5421940928270006
2023,3,Corrientes,99.64,97.21,2.4997428248122695
2023,4,Corrientes,100.9,99.64,1.2645523885989614
2024,1,Corrientes,102.49,100.9,1.5758176412289289
2024,2,Corrientes,104.26,102.49,1.7269977558786325
2014,2,Córdoba,3.55678596068326,3.38740458152481,5.0003291629901625
2014,3,Córdoba,3.66006224955991,3.55678596068326,2.9036408155640165
2014,4,Córdoba,4.09290306218457,3.66006224955991,11.826050572683714
2015,1,Córdoba,4.30427928200685,4.09290306218457,5.164457027463992
2015,2,Córdoba,4.55793766620085,4.30427928200685,5.893167417234433
2015,3,Córdoba,4.86784900122509,4.55793766620085,6.79937633466055
2015,4,Córdoba,5.06708149326841,4.86784900122509,4.092823996660114
2016,1,Córdoba,5.15680161704967,5.06708149326841,1.7706469473690603
2016,2,Córdoba,5.51691282300281,5.15680161704967,6.983227835690312
2016,3,Córdoba,6.06852692351841,5.51691282300281,9.998600996840842
2016,4,Córdoba,6.46674036390561,6.06852692351841,6.561945681478901
2017,1,Córdoba,6.79947763737,6.46674036390561,5.145363115574843
2017,2,Córdoba,7.42132179907677,6.79947763737,9.14546962091776
2017,3,Córdoba,9.11557287304998,7.42132179907677,22.829505576539994
2017,4,Córdoba,11.6365847011566,9.11557287304998,27.65609867000181
2018,1,Córdoba,12.7905712174005,11.6365847011566,9.916883225446727
2018,2,Córdoba,13.8768094063495,12.7905712174005,8.492491621259763
2018,3,Córdoba,14.8182495375679,13.8768094063495,6.7842693781441765
2018,4,Córdoba,15.8136674336298,14.8182495375679,6.717513384683335
2019,1,Córdoba,15.7348642286459,15.8136674336298,-0.4983233985072544
2019,2,Córdoba,18.4315178319128,15.7348642286459,17.138079897489945
2019,3,Córdoba,23.1934023649398,18.4315178319128,25.835552863596252
2019,4,Córdoba,26.1622806145129,23.1934023649398,12.800529231799942
2020,1,Córdoba,29.3947878350613,26.1622806145129,12.355601823012504
2020,2,Córdoba,30.9875776371395,29.3947878350613,5.418613024239492
2020,3,Córdoba,33.5111949741979,30.9875776371395,8.143964548018664
2020,4,Córdoba,35.1206012418839,33.5111949741979,4.802592891495417
